run_id,timestamp_utc,dataset_split,style,category,call_type,model_name,status,input_chars,output_chars,est_input_tokens,est_output_tokens,est_cost_usd,estimation_method,pricing_source,input_price_per_1m_tokens,output_price_per_1m_tokens,tokens_estimated,cost_estimated
20260416T160419Z_postprocessing,2026-04-16T16:04:21+00:00,attack_eval,riddle,phishing,post_processor,deepseek-chat,ok,9498,6,2375,2,0.0006434500000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:23+00:00,attack_eval,riddle,phishing,post_processor,deepseek-chat,ok,9818,6,2455,2,0.00066505,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:25+00:00,attack_eval,riddle,phishing,post_processor,deepseek-chat,ok,8308,6,2077,2,0.0005629900000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:26+00:00,attack_eval,riddle,phishing,post_processor,deepseek-chat,ok,8940,6,2235,2,0.0006056500000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:28+00:00,attack_eval,riddle,phishing,post_processor,deepseek-chat,ok,465,4,117,1,3.269000000000001e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:29+00:00,attack_eval,riddle,malware,post_processor,deepseek-chat,ok,12208,6,3052,2,0.0008262400000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:31+00:00,attack_eval,riddle,malware,post_processor,deepseek-chat,ok,1234,6,309,2,8.563e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:32+00:00,attack_eval,riddle,malware,post_processor,deepseek-chat,ok,4665,6,1167,2,0.00031729,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:34+00:00,attack_eval,riddle,malware,post_processor,deepseek-chat,ok,2619,4,655,1,0.00017795000000000002,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:36+00:00,attack_eval,riddle,malware,post_processor,deepseek-chat,ok,9558,6,2390,2,0.0006475000000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:37+00:00,attack_eval,riddle,disinfo,post_processor,deepseek-chat,ok,2216,4,554,1,0.00015068000000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:38+00:00,attack_eval,riddle,disinfo,post_processor,deepseek-chat,ok,7314,4,1829,1,0.0004949300000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:40+00:00,attack_eval,riddle,disinfo,post_processor,deepseek-chat,ok,2805,6,702,2,0.00019174,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:41+00:00,attack_eval,riddle,disinfo,post_processor,deepseek-chat,ok,3927,4,982,1,0.00026624000000000005,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:42+00:00,attack_eval,riddle,disinfo,post_processor,deepseek-chat,ok,5702,6,1426,2,0.00038722,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:44+00:00,attack_eval,riddle,synthesis,post_processor,deepseek-chat,ok,1395,4,349,1,9.533e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:45+00:00,attack_eval,riddle,synthesis,post_processor,deepseek-chat,ok,1206,4,302,1,8.264e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:47+00:00,attack_eval,riddle,synthesis,post_processor,deepseek-chat,ok,1213,6,304,2,8.428000000000001e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:48+00:00,attack_eval,riddle,synthesis,post_processor,deepseek-chat,ok,1206,6,302,2,8.374000000000001e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:49+00:00,attack_eval,riddle,synthesis,post_processor,deepseek-chat,ok,7466,6,1867,2,0.0005062900000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:50+00:00,attack_eval,poem,phishing,post_processor,deepseek-chat,ok,7982,6,1996,2,0.0005411200000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:52+00:00,attack_eval,poem,phishing,post_processor,deepseek-chat,ok,10470,4,2618,1,0.00070796,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:54+00:00,attack_eval,poem,phishing,post_processor,deepseek-chat,ok,8012,4,2003,1,0.00054191,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:55+00:00,attack_eval,poem,phishing,post_processor,deepseek-chat,ok,10776,6,2694,2,0.0007295800000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:57+00:00,attack_eval,poem,phishing,post_processor,deepseek-chat,ok,9187,6,2297,2,0.0006223900000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:04:59+00:00,attack_eval,poem,malware,post_processor,deepseek-chat,ok,9709,6,2428,2,0.0006577600000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:00+00:00,attack_eval,poem,malware,post_processor,deepseek-chat,ok,9684,6,2421,2,0.0006558700000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:01+00:00,attack_eval,poem,malware,post_processor,deepseek-chat,ok,8872,6,2218,2,0.00060106,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:03+00:00,attack_eval,poem,malware,post_processor,deepseek-chat,ok,7344,6,1836,2,0.00049792,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:04+00:00,attack_eval,poem,malware,post_processor,deepseek-chat,ok,11425,6,2857,2,0.0007735900000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:05+00:00,attack_eval,poem,disinfo,post_processor,deepseek-chat,ok,11884,6,2971,2,0.0008043700000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:07+00:00,attack_eval,poem,disinfo,post_processor,deepseek-chat,ok,7105,4,1777,1,0.00048089000000000004,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:08+00:00,attack_eval,poem,disinfo,post_processor,deepseek-chat,ok,7257,4,1815,1,0.00049115,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:10+00:00,attack_eval,poem,disinfo,post_processor,deepseek-chat,ok,7010,6,1753,2,0.00047551000000000006,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:11+00:00,attack_eval,poem,disinfo,post_processor,deepseek-chat,ok,7132,6,1783,2,0.00048361000000000004,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:13+00:00,attack_eval,poem,synthesis,post_processor,deepseek-chat,ok,5887,4,1472,1,0.00039854000000000007,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:14+00:00,attack_eval,poem,synthesis,post_processor,deepseek-chat,ok,5328,6,1332,2,0.00036184000000000005,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:16+00:00,attack_eval,poem,synthesis,post_processor,deepseek-chat,ok,8944,4,2236,1,0.00060482,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:17+00:00,attack_eval,poem,synthesis,post_processor,deepseek-chat,ok,6601,6,1651,2,0.00044797,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:18+00:00,attack_eval,poem,synthesis,post_processor,deepseek-chat,ok,8066,4,2017,1,0.00054569,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:20+00:00,attack_eval,nursery_rhyme,phishing,post_processor,deepseek-chat,ok,7848,4,1962,1,0.00053084,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:21+00:00,attack_eval,nursery_rhyme,phishing,post_processor,deepseek-chat,ok,9192,4,2298,1,0.0006215600000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:23+00:00,attack_eval,nursery_rhyme,phishing,post_processor,deepseek-chat,ok,7768,4,1942,1,0.0005254400000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:24+00:00,attack_eval,nursery_rhyme,phishing,post_processor,deepseek-chat,ok,9688,4,2422,1,0.0006550400000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:26+00:00,attack_eval,nursery_rhyme,phishing,post_processor,deepseek-chat,ok,8040,6,2010,2,0.0005449000000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:28+00:00,attack_eval,nursery_rhyme,malware,post_processor,deepseek-chat,ok,9078,6,2270,2,0.0006151000000000002,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:29+00:00,attack_eval,nursery_rhyme,malware,post_processor,deepseek-chat,ok,6827,6,1707,2,0.00046309000000000004,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:30+00:00,attack_eval,nursery_rhyme,malware,post_processor,deepseek-chat,ok,9909,4,2478,1,0.00067016,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:32+00:00,attack_eval,nursery_rhyme,malware,post_processor,deepseek-chat,ok,6167,4,1542,1,0.00041744000000000004,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:33+00:00,attack_eval,nursery_rhyme,malware,post_processor,deepseek-chat,ok,7098,6,1775,2,0.00048145,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:34+00:00,attack_eval,nursery_rhyme,disinfo,post_processor,deepseek-chat,ok,8698,6,2175,2,0.00058945,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:36+00:00,attack_eval,nursery_rhyme,disinfo,post_processor,deepseek-chat,ok,5923,4,1481,1,0.00040097,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:37+00:00,attack_eval,nursery_rhyme,disinfo,post_processor,deepseek-chat,ok,11265,4,2817,1,0.0007616900000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:39+00:00,attack_eval,nursery_rhyme,disinfo,post_processor,deepseek-chat,ok,8887,6,2222,2,0.0006021400000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:40+00:00,attack_eval,nursery_rhyme,disinfo,post_processor,deepseek-chat,ok,6786,4,1697,1,0.00045929000000000006,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:42+00:00,attack_eval,nursery_rhyme,synthesis,post_processor,deepseek-chat,ok,8801,4,2201,1,0.0005953700000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:44+00:00,attack_eval,nursery_rhyme,synthesis,post_processor,deepseek-chat,ok,8560,4,2140,1,0.0005789000000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:47+00:00,attack_eval,nursery_rhyme,synthesis,post_processor,deepseek-chat,ok,10562,6,2641,2,0.0007152700000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:48+00:00,attack_eval,nursery_rhyme,synthesis,post_processor,deepseek-chat,ok,7159,6,1790,2,0.0004855,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
