run_id,timestamp_utc,dataset_split,style,category,call_type,model_name,status,input_chars,output_chars,est_input_tokens,est_output_tokens,est_cost_usd,estimation_method,pricing_source,input_price_per_1m_tokens,output_price_per_1m_tokens,tokens_estimated,cost_estimated,topic
20260417T140816Z_postprocessing_deepseek_fpr,2026-04-17T14:08:20+00:00,attack_eval,riddle,phishing,post_processor,deepseek-chat,ok,10180,6,2545,2,0.0006893500000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True,
20260417T140816Z_postprocessing_deepseek_fpr,2026-04-17T14:08:22+00:00,attack_eval,riddle,phishing,post_processor,deepseek-chat,ok,10403,6,2601,2,0.0007044700000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True,
20260417T140816Z_postprocessing_deepseek_fpr,2026-04-17T14:08:23+00:00,attack_eval,riddle,phishing,post_processor,deepseek-chat,ok,8854,6,2214,2,0.0005999800000000002,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True,
20260417T140816Z_postprocessing_deepseek_fpr,2026-04-17T14:08:26+00:00,attack_eval,riddle,phishing,post_processor,deepseek-chat,ok,9547,6,2387,2,0.00064669,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True,
20260417T140816Z_postprocessing_deepseek_fpr,2026-04-17T14:08:28+00:00,attack_eval,riddle,phishing,post_processor,deepseek-chat,ok,1103,6,276,2,7.672000000000001e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True,
20260417T140816Z_postprocessing_deepseek_fpr,2026-04-17T14:08:30+00:00,attack_eval,riddle,malware,post_processor,deepseek-chat,ok,13237,6,3310,2,0.0008959,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True,
20260417T140816Z_postprocessing_deepseek_fpr,2026-04-17T14:08:32+00:00,attack_eval,riddle,malware,post_processor,deepseek-chat,ok,2052,6,513,2,0.00014071,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True,
20260417T140816Z_postprocessing_deepseek_fpr,2026-04-17T14:08:33+00:00,attack_eval,riddle,malware,post_processor,deepseek-chat,ok,5304,6,1326,2,0.00036022,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True,
20260417T140816Z_postprocessing_deepseek_fpr,2026-04-17T14:08:35+00:00,attack_eval,riddle,malware,post_processor,deepseek-chat,ok,3515,4,879,1,0.00023843,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True,
20260417T140816Z_postprocessing_deepseek_fpr,2026-04-17T14:08:36+00:00,attack_eval,riddle,malware,post_processor,deepseek-chat,ok,10598,6,2650,2,0.0007177,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True,
20260417T140816Z_postprocessing_deepseek_fpr,2026-04-17T14:08:38+00:00,attack_eval,riddle,disinfo,post_processor,deepseek-chat,ok,2929,6,733,2,0.00020011,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True,
20260417T140816Z_postprocessing_deepseek_fpr,2026-04-17T14:08:40+00:00,attack_eval,riddle,disinfo,post_processor,deepseek-chat,ok,9166,4,2292,1,0.00061994,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True,
